iter	Passed	Remaining
0	0	78
1	1	68
2	2	64
3	2	59
4	3	59
5	3	58
6	4	58
7	5	57
8	5	57
9	6	57
10	7	58
11	8	58
12	8	58
13	9	57
14	10	57
15	10	56
16	11	56
17	12	55
18	12	55
19	13	54
20	14	54
21	15	53
22	15	53
23	16	52
24	17	52
25	18	51
26	18	51
27	19	50
28	20	49
29	21	49
30	22	49
31	23	48
32	23	48
33	24	47
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	32	41
44	33	40
45	34	39
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	49	26
65	50	25
66	51	25
67	52	24
68	52	23
69	53	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	61	16
79	61	15
80	62	14
81	63	13
82	64	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	72	6
92	72	5
93	73	4
94	74	3
95	75	3
96	76	2
97	77	1
98	78	0
99	79	0
